Code,Grade,Subject,Reporting Category,Level,Standard Text
5.2A,5,Math,Numerical Representations,Readiness,"represent the value of the digit in decimals through the thousandths using expanded notation and numerals"
5.2B,5,Math,Numerical Representations,Readiness,"compare and order two decimals to thousandths and represent comparisons using the symbols >, <, or ="
5.2C,5,Math,Numerical Representations,Supporting,"round decimals to tenths or hundredths"
5.3A,5,Math,Computations and Algebraic Relationships,Supporting,"estimate to determine solutions to mathematical and real-world problems involving addition, subtraction, multiplication, or division"
5.3B,5,Math,Computations and Algebraic Relationships,Readiness,"multiply with fluency a three-digit number by a two-digit number using the standard algorithm"
5.3C,5,Math,Computations and Algebraic Relationships,Supporting,"solve with proficiency for quotients of up to a four-digit dividend by a two-digit divisor using strategies and the standard algorithm"
5.3H,5,Math,Computations and Algebraic Relationships,Supporting,"represent and solve addition and subtraction of fractions with unequal denominators referring to the same whole using objects and pictorial models and properties of operations"
5.3I,5,Math,Computations and Algebraic Relationships,Supporting,"represent and solve multiplication of a whole number and a fraction that refers to the same whole using objects and pictorial models, including area models"
5.3J,5,Math,Computations and Algebraic Relationships,Supporting,"represent division of a unit fraction by a whole number and the division of a whole number by a unit fraction such as 1/3 divided by 7 and 7 divided by 1/3 using objects and pictorial models, including area models"
5.3K,5,Math,Computations and Algebraic Relationships,Readiness,"add and subtract positive rational numbers fluently"
5.3L,5,Math,Computations and Algebraic Relationships,Supporting,"divide whole numbers by unit fractions and unit fractions by whole numbers"
5.4A,5,Math,Computations and Algebraic Relationships,Supporting,"identify prime and composite numbers"
5.4B,5,Math,Computations and Algebraic Relationships,Readiness,"represent and solve multi-step problems involving the four operations with whole numbers using equations with a letter standing for the unknown quantity"
5.4C,5,Math,Computations and Algebraic Relationships,Supporting,"generate a numerical pattern when given a rule in the form y = ax or y = x + a and graph"
5.4G,5,Math,Geometry and Measurement,Supporting,"use concrete objects and pictorial models to develop the formulas for the volume of a rectangular prism, including the special form for a cube"
5.4H,5,Math,Geometry and Measurement,Readiness,"represent and solve problems related to perimeter and/or area and related to volume"
5.5A,5,Math,Geometry and Measurement,Readiness,"classify two-dimensional figures in a hierarchy of sets and subsets using graphic organizers based on their attributes and properties"
5.9A,5,Math,Data Analysis and Personal Financial Literacy,Supporting,"represent categorical data with bar graphs or frequency tables and numerical data, including data sets of measurements in fractions or decimals, with dot plots or stem-and-leaf plots"
5.9B,5,Math,Data Analysis and Personal Financial Literacy,Supporting,"represent discrete paired data on a scatterplot"
5.9C,5,Math,Data Analysis and Personal Financial Literacy,Readiness,"solve one- and two-step problems using data from a frequency table, dot plot, bar graph, stem-and-leaf plot, or scatterplot"
5.10A,5,Math,Data Analysis and Personal Financial Literacy,Supporting,"define income tax, payroll tax, sales tax, and property tax"
5.10B,5,Math,Data Analysis and Personal Financial Literacy,Supporting,"explain the difference between gross income and net income"
